timestamp,temperature,humidity,pressure,sensor,datetime
8741,28.86,49.26,1015.61,BME280,2025-09-03T14:30:08.741Z
10741,28.87,49.25,1015.57,BME280,2025-09-03T14:30:10.741Z
12741,28.86,49.23,1015.63,BME280,2025-09-03T14:30:12.741Z
14741,28.87,49.24,1015.66,BME280,2025-09-03T14:30:14.741Z
16741,28.86,49.40,1015.63,BME280,2025-09-03T14:30:16.741Z
18741,28.87,49.45,1015.63,BME280,2025-09-03T14:30:18.741Z
20761,28.87,49.47,1015.57,BME280,2025-09-03T14:30:20.761Z
22771,28.86,49.53,1015.60,BME280,2025-09-03T14:30:22.771Z
24771,28.86,49.56,1015.61,BME280,2025-09-03T14:30:24.771Z
26771,28.86,49.53,1015.65,BME280,2025-09-03T14:30:26.771Z
28771,28.86,49.52,1015.62,BME280,2025-09-03T14:30:28.771Z
30771,28.86,49.51,1015.57,BME280,2025-09-03T14:30:30.771Z
32771,28.87,49.49,1015.60,BME280,2025-09-03T14:30:32.771Z
34771,28.86,49.50,1015.62,BME280,2025-09-03T14:30:34.771Z
36771,28.87,49.41,1015.62,BME280,2025-09-03T14:30:36.771Z
38771,28.85,49.30,1015.61,BME280,2025-09-03T14:30:38.771Z
40771,28.84,49.24,1015.62,BME280,2025-09-03T14:30:40.771Z
42771,28.83,49.31,1015.63,BME280,2025-09-03T14:30:42.771Z
44771,28.82,49.40,1015.58,BME280,2025-09-03T14:30:44.771Z
46771,28.82,49.41,1015.63,BME280,2025-09-03T14:30:46.771Z
48681,28.72,49.04,1015.52,BME280,2025-09-03T14:30:48.681Z
50681,28.73,49.10,1015.51,BME280,2025-09-03T14:30:50.681Z
52681,28.72,49.19,1015.51,BME280,2025-09-03T14:30:52.681Z
54681,28.72,49.17,1015.55,BME280,2025-09-03T14:30:54.681Z
56681,28.72,49.39,1015.50,BME280,2025-09-03T14:30:56.681Z
58681,28.72,49.54,1015.52,BME280,2025-09-03T14:30:58.681Z
60681,28.72,49.62,1015.48,BME280,2025-09-03T14:31:00.681Z
62681,28.72,49.62,1015.52,BME280,2025-09-03T14:31:02.681Z
64681,28.72,49.62,1015.53,BME280,2025-09-03T14:31:04.681Z
66681,28.73,49.53,1015.51,BME280,2025-09-03T14:31:06.681Z
